福利,技能,岗位,城市,薪水
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,弹性工作,就近租房补贴,六险一金",数据挖掘,数据挖掘,北京,25-45
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,弹性工作,就近租房补贴,六险一金",数据挖掘,数据挖掘,北京,25-45
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
,"ETL,java,spack,scala","ETL,java,spack,scala",上海,25-35
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
"扁平管理,年度旅游,五险一金,团队年轻",,工具类产品,成都,20-25
"节日礼物,年底双薪,股票期权,带薪年假",,"网络通信,软件服务,咨询",北京,20-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",北京,35-55
"专项奖金,带薪年假,定期体检,交通补助",,电商平台,上海,16-25
"专项奖金,股票期权,绩效奖金,年终分红","数据仓库,Hadoop,Spark,Hive","数据仓库,Hadoop,Spark,Hive",上海,35-55
"年底双薪,节日礼物,技能培训,绩效奖金","Hadoop,Spark,Java","科技金融,Hadoop,Spark,Java",上海,30-60
"年底双薪,节日礼物,技能培训,绩效奖金",,工具类产品,深圳,18-30
"股票期权,帅哥多,领导好,技能培训",,"物流,运输",深圳,13-16
"弹性工作,股票期权,扁平管理,技术氛围浓厚","元数据,spark,调度","新零售,物流平台,元数据,spark,调度",上海,25-45
,,"电商平台,社交平台",上海,25-50
,,"电商平台,物流,运输",深圳,30-55
"专项奖金,绩效奖金,节日礼物,美女多",,金融业,北京,25-30
"股票期权,带薪年假,定期体检,节日礼物",,"金融业,能源,矿产,环保",北京,15-30
,数据仓库,数据仓库,广州,20-30
"专项奖金,带薪年假,绩效奖金,节日礼物",,"物联网,IT技术服务,咨询",广州,15-25
